Timestamp,StationName,AirTemperature,WindSpeed,SunshineDuration,Precipitation,HasNullValue
2025-07-23T14:30:00+08:00,基隆,29.7,6.2,6.8,4.5,False
2025-07-23T14:30:00+08:00,新北,33.6,3.2,7.6,1.0,False
2025-07-23T14:30:00+08:00,鞍部,23.8,3.1,1.1,18.0,False
2025-07-23T14:30:00+08:00,新竹,35.4,4.9,8.7,0.0,False
2025-07-23T14:30:00+08:00,臺中,33.6,1.4,6.0,0.0,False
2025-07-23T14:30:00+08:00,澎湖,30.8,4.6,6.1,0.0,False
2025-07-23T14:30:00+08:00,日月潭,28.1,0.1,7.0,0.0,False
2025-07-23T14:30:00+08:00,阿里山,17.3,1.2,3.8,0.5,False
2025-07-23T14:30:00+08:00,玉山,12.9,2.7,7.0,0.5,False
2025-07-23T14:30:00+08:00,嘉義,33.0,2.6,8.3,0.0,False
2025-07-23T14:30:00+08:00,臺南,31.9,5.2,7.4,0.0,False
2025-07-23T14:30:00+08:00,高雄,NULL,NULL,NULL,NULL,True
2025-07-23T14:30:00+08:00,恆春,31.3,6.1,6.9,6.0,False
2025-07-23T14:30:00+08:00,宜蘭,31.4,4.2,5.7,30.5,False
2025-07-23T14:30:00+08:00,花蓮,31.3,4.7,5.6,1.5,False
2025-07-23T14:30:00+08:00,成功,31.1,5.6,8.4,2.0,False
2025-07-23T14:30:00+08:00,臺東,30.4,4.8,7.8,0.5,False
2025-07-23T14:30:00+08:00,大武,30.8,5.5,6.2,0.0,False
2025-07-23T14:30:00+08:00,蘭嶼,27.1,5.8,2.7,8.0,False
2025-07-23T14:30:00+08:00,東吉島,29.8,3.9,7.9,0.0,False
2025-07-23T14:30:00+08:00,永康,33.2,3.7,7.0,0.0,False
2025-07-23T14:30:00+08:00,臺北,33.1,4.2,7.4,3.5,False
2025-07-23T14:30:00+08:00,金門,33.0,6.1,3.7,0.0,False
2025-07-23T14:30:00+08:00,馬祖,28.5,5.0,3.4,NULL,True
2025-07-23T14:30:00+08:00,新屋,32.8,9.2,8.1,0.0,False
2025-07-23T14:30:00+08:00,田中,33.1,2.3,7.7,0.0,False
2025-07-23T14:30:00+08:00,後龍,33.2,2.6,8.3,0.0,False
2025-07-23T14:30:00+08:00,古坑,32.7,3.4,8.1,0.0,False
